Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Nov,1969
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Nov,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Nov,1969
CASC,Site 5020 (LA-2A),Jiuquan Satellite Launch Center,,China,Nov,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Nov,1969
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Nov,1969
Yuzhmash,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Nov,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Oct,1969
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Oct,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1969
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Oct,1969
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Oct,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1969
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Oct,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Sep,1969
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Sep,1969
UT,Uchinoura Space Center,Japan,,,Sep,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1969
RVSN USSR,Site 191/66,Baikonur Cosmodrome,,Kazakhstan,Sep,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Sep,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Aug,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Aug,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1969
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Aug,1969
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1969
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Aug,1969
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Aug,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jul,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jul,1969
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jul,1969
RVSN USSR,Site 110/38,Baikonur Cosmodrome,,Kazakhstan,Jul,1969
CECLES,LA-5B,RAAF Woomera Range Complex,,Australia,Jul,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1969
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Jun,1969
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jun,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jun,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,May,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,May,1969
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,May,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,May,1969
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,May,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1969
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Apr,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Apr,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1969
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Apr,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Mar,1969
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1969
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Mar,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1969
General Dynamics,LC-576A2,Vandenberg AFB,California,USA,Mar,1969
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1969
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1969
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Mar,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Mar,1969
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Feb,1969
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,1969
RVSN USSR,Site 110/38,Baikonur Cosmodrome,,Kazakhstan,Feb,1969
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Feb,1969
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Feb,1969
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Feb,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Feb,1969
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Jan,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jan,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jan,1969
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Jan,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jan,1969
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jan,1969
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jan,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jan,1969
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jan,1969
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1968
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1968
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Dec,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1968
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1968
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Dec,1968
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Dec,1968
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1968
CECLES,LA-5B,RAAF Woomera Range Complex,,Australia,Nov,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1968
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Nov,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1968
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Nov,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Nov,1968
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Nov,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1968
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Oct,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1968
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Oct,1968
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Oct,1968
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Oct,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1968
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Oct,1968
RVSN USSR,Site 161/35,Baikonur Cosmodrome,,Kazakhstan,Oct,1968
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Sep,1968
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Sep,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Sep,1968
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Sep,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Aug,1968
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Aug,1968
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Aug,1968
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1968
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Aug,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1968
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jul,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jul,1968
General Dynamics,LC-576A2,Vandenberg AFB,California,USA,Jul,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1968
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jul,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1968
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Jun,1968
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1968
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jun,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1968
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jun,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1968
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,May,1968
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,May,1968
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,May,1968
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Apr,1968
RVSN USSR,Site 162,Baikonur Cosmodrome,,Kazakhstan,Apr,1968
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Apr,1968
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Apr,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1968
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Apr,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1968
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Apr,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1968
General Dynamics,LC-576A2,Vandenberg AFB,California,USA,Apr,1968
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1968
OKB-586,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Mar,1968
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Mar,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Mar,1968
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Mar,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1968
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Mar,1968
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Mar,1968
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Mar,1968
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1968
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Feb,1968
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,1968
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,1968
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jan,1968
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jan,1968
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jan,1968
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1968
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Dec,1967
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1967
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Dec,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Dec,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Dec,1967
AMBA,LA-5B,RAAF Woomera Range Complex,,Australia,Nov,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1967
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1967
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Nov,1967
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Nov,1967
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1967
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1967
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Nov,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1967
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Oct,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
RVSN USSR,Site 162,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Oct,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
RVSN USSR,Site 161/35,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
OKB-586,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1967
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Sep,1967
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Sep,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Sep,1967
RVSN USSR,Site 162,Baikonur Cosmodrome,,Kazakhstan,Sep,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1967
RVSN USSR,Site 161/35,Baikonur Cosmodrome,,Kazakhstan,Sep,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Sep,1967
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Sep,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Sep,1967
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Sep,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1967
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Aug,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1967
RVSN USSR,Site 162,Baikonur Cosmodrome,,Kazakhstan,Aug,1967
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Aug,1967
RVSN USSR,Site 161/35,Baikonur Cosmodrome,,Kazakhstan,Jul,1967
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Jul,1967
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1967
RVSN USSR,Site 162,Baikonur Cosmodrome,,Kazakhstan,Jul,1967
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1967
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1967
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,1967
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jun,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1967
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jun,1967
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jun,1967
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jun,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1967
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jun,1967
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jun,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,May,1967
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,May,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,May,1967
RVSN USSR,Site 161/35,Baikonur Cosmodrome,,Kazakhstan,May,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,May,1967
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,May,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,May,1967
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,May,1967
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1967
ASI,SM Launch Tab,San Marco Launch Platform,,Kenya,Apr,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1967
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1967
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Apr,1967
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Apr,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1967
UT,Uchinoura Space Center,Japan,,,Apr,1967
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Mar,1967
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Mar,1967
RVSN USSR,Site 161/35,Baikonur Cosmodrome,,Kazakhstan,Mar,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1967
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Mar,1967
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Mar,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1967
RVSN USSR,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Mar,1967
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Mar,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Feb,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,1967
